Date,Price,Open,High,Low,Volume,Chg%
8-Aug-19,70.42,71.17,71.17,70.42,0,-1.02%
7-Aug-19,71.145,70.965,71.195,70.604,0,0.15%
6-Aug-19,71.04,70.81,71.04,70.47,0,0.31%
5-Aug-19,70.821,70.117,70.839,70.117,0,1.61%
2-Aug-19,69.7,69.23,69.7,69.21,0,0.99%
1-Aug-19,69.017,69.267,69.267,69.002,0,0.21%
31-Jul-19,68.875,68.853,68.96,68.761,0,0.02%
30-Jul-19,68.862,68.766,68.903,68.663,0,0.16%
29-Jul-19,68.755,68.9,68.965,68.705,0,-0.18%
26-Jul-19,68.88,69.151,69.151,68.816,0,-0.23%
25-Jul-19,69.041,68.992,69.078,68.885,0,0.09%
24-Jul-19,68.98,69.02,69.109,68.921,0,-0.08%
23-Jul-19,69.033,68.944,69.059,68.903,0,0.15%
22-Jul-19,68.93,68.955,69.07,68.88,0,0.10%
19-Jul-19,68.86,68.81,68.955,68.722,0,0.01%
18-Jul-19,68.855,68.773,69.005,68.718,0,0.01%
17-Jul-19,68.846,68.688,68.904,68.64,0,0.29%
16-Jul-19,68.65,68.54,68.77,68.521,0,0.15%
15-Jul-19,68.545,68.535,68.615,68.477,0,-0.02%
12-Jul-19,68.56,68.46,68.695,68.433,0,0.22%
11-Jul-19,68.41,68.414,68.495,68.28,0,-0.01%
10-Jul-19,68.419,68.62,68.695,68.318,0,-0.21%
9-Jul-19,68.565,68.665,68.858,68.513,0,0.00%
8-Jul-19,68.566,68.582,68.767,68.497,0,0.17%
5-Jul-19,68.45,68.539,68.785,68.385,0,-0.11%
4-Jul-19,68.527,68.817,68.914,68.489,0,-0.40%
3-Jul-19,68.8,68.885,68.963,68.795,0,-0.13%
2-Jul-19,68.89,68.924,69.075,68.87,0,0.01%
1-Jul-19,68.885,68.944,69.09,68.83,0,-0.09%
28-Jun-19,68.95,69.048,69.125,68.866,0,-0.20%
27-Jun-19,69.088,69.21,69.353,69.03,0,-0.23%
26-Jun-19,69.245,69.32,69.518,69.11,0,-0.13%
25-Jun-19,69.334,69.266,69.439,69.238,0,0.09%
24-Jun-19,69.273,69.629,69.63,69.264,0,-0.49%
21-Jun-19,69.615,69.755,69.76,69.504,0,0.14%
20-Jun-19,69.52,69.49,69.675,69.334,0,-0.19%
19-Jun-19,69.65,69.55,69.808,69.5,0,0.06%
18-Jun-19,69.61,69.868,69.891,69.609,0,-0.34%
17-Jun-19,69.85,69.81,69.982,69.74,0,0.02%
14-Jun-19,69.833,69.566,69.865,69.53,0,0.44%
13-Jun-19,69.53,69.379,69.58,69.314,0,0.22%
12-Jun-19,69.375,69.414,69.455,69.257,0,-0.01%
11-Jun-19,69.385,69.534,69.534,69.342,0,-0.22%
10-Jun-19,69.535,69.375,69.685,69.375,0,0.26%
7-Jun-19,69.355,69.146,69.551,69.114,0,0.27%
6-Jun-19,69.165,69.405,69.46,69.165,0,-0.32%
5-Jun-19,69.385,69.334,69.423,69.178,0,0.14%
4-Jun-19,69.291,69.068,69.343,69.033,0,0.17%
3-Jun-19,69.171,69.618,69.622,69.128,0,-0.59%
31-May-19,69.58,69.839,69.927,69.58,0,-0.35%
30-May-19,69.825,69.835,69.935,69.703,0,-0.03%
29-May-19,69.845,69.587,70.003,69.579,0,0.34%
28-May-19,69.61,69.516,69.755,69.516,0,0.15%
27-May-19,69.504,69.412,69.633,69.362,0,0.18%
24-May-19,69.38,69.699,69.811,69.377,0,-0.41%
23-May-19,69.665,69.666,70.065,69.375,0,0.02%
22-May-19,69.65,69.668,69.811,69.614,0,0.01%
21-May-19,69.645,69.817,69.825,69.62,0,0.05%
20-May-19,69.609,69.405,69.778,69.373,0,-0.95%
17-May-19,70.28,70.22,70.288,70.067,0,0.21%
16-May-19,70.13,70.219,70.342,69.966,0,-0.17%
15-May-19,70.249,70.322,70.442,70.174,0,-0.12%
14-May-19,70.332,70.596,70.616,70.252,0,-0.34%
13-May-19,70.57,70.015,70.651,69.984,0,0.79%
10-May-19,70.015,70.091,70.114,69.756,0,-0.26%
9-May-19,70.2,69.719,70.276,69.719,0,0.69%
8-May-19,69.72,69.596,69.751,69.448,0,0.11%
7-May-19,69.645,69.421,69.646,69.285,0,0.38%
6-May-19,69.38,69.31,69.485,69.31,0,0.41%
3-May-19,69.095,69.436,69.441,69.095,0,-0.45%
2-May-19,69.41,69.62,69.634,69.32,0,-0.19%
1-May-19,69.545,69.601,69.603,69.466,0,-0.15%
30-Apr-19,69.647,69.831,69.913,69.536,0,-0.24%
29-Apr-19,69.817,69.879,69.895,69.797,0,-0.05%
26-Apr-19,69.85,70.173,70.247,69.81,0,-0.46%
25-Apr-19,70.17,70.01,70.335,69.92,0,0.30%
24-Apr-19,69.96,69.779,70,69.762,0,0.27%
23-Apr-19,69.77,69.63,69.84,69.54,0,0.10%
22-Apr-19,69.7,69.366,69.906,69.366,0,0.42%
19-Apr-19,69.407,69.416,69.429,69.355,0,0.02%
18-Apr-19,69.395,69.417,69.619,69.33,0,-0.05%
17-Apr-19,69.431,69.547,69.57,69.362,0,-0.14%
16-Apr-19,69.53,69.422,69.69,69.422,0,0.19%
15-Apr-19,69.395,69.174,69.483,69.045,0,0.30%
12-Apr-19,69.19,69.03,69.39,69.03,0,0.25%
11-Apr-19,69.02,69.164,69.222,68.837,0,-0.19%
10-Apr-19,69.15,69.258,69.366,69.09,0,-0.19%
9-Apr-19,69.28,69.538,69.74,69.248,0,-0.40%
8-Apr-19,69.555,69.335,69.72,69.335,0,0.56%
5-Apr-19,69.17,68.992,69.338,68.986,0,0.28%
4-Apr-19,68.98,68.54,69.22,68.52,0,0.77%
3-Apr-19,68.45,68.73,68.835,68.39,0,-0.68%
2-Apr-19,68.92,69.28,69.39,68.72,0,-0.41%
1-Apr-19,69.205,69.356,69.424,69.185,0,0.03%
29-Mar-19,69.185,69.178,69.32,69.042,0,-0.01%
28-Mar-19,69.19,69.124,69.38,68.95,0,0.13%
27-Mar-19,69.1,69.039,69.187,68.78,0,0.15%
26-Mar-19,68.996,68.931,69.017,68.779,0,0.15%
25-Mar-19,68.89,69.159,69.176,68.795,0,-0.40%
22-Mar-19,69.17,68.65,69.17,68.54,0,0.52%
21-Mar-19,68.81,68.565,68.81,68.51,0,0.03%
20-Mar-19,68.79,69.027,69.176,68.731,0,-0.33%
19-Mar-19,69.015,68.619,69.067,68.35,0,0.57%
18-Mar-19,68.625,68.959,68.959,68.431,0,-0.49%
15-Mar-19,68.963,69.357,69.372,68.935,0,-0.58%
14-Mar-19,69.365,69.525,69.755,69.255,0,-0.24%
13-Mar-19,69.529,69.607,69.794,69.419,0,-0.14%
12-Mar-19,69.625,69.821,69.821,69.491,0,-0.32%
11-Mar-19,69.85,70.028,70.041,69.808,0,-0.23%
8-Mar-19,70.012,70.111,70.245,69.827,0,-0.15%
7-Mar-19,70.116,70.151,70.152,69.95,0,0.05%
6-Mar-19,70.08,70.479,70.692,70.022,0,-0.58%
5-Mar-19,70.49,70.963,70.975,70.448,0,-0.59%
